Date,Close,Mean,Median,Up/Down,Gain%/Loss%
1964-04-06,824.76,673.79,679.71,1.77,0.22
1964-04-07,822.77,673.93,679.82,-1.99,-0.24
1964-04-08,824.19,674.07,679.92,1.42,0.17
1964-04-09,821.35,674.21,680.15,-2.84,-0.34
1964-04-10,821.75,674.34,680.38,0.4,0.05
1964-04-13,821.31,674.48,680.53,-0.44,-0.05
1964-04-14,822.95,674.62,680.68,1.64,0.2
1964-04-15,825.43,674.76,680.92,2.48,0.3
1964-04-16,825.65,674.9,681.16,0.22,0.03
1964-04-17,827.33,675.04,681.23,1.68,0.2
1964-04-20,824.54,675.18,681.3,-2.79,-0.34
1964-04-21,826.45,675.32,681.47,1.91,0.23
1964-04-22,823.57,675.45,681.64,-2.88,-0.35
1964-04-23,821.66,675.59,681.68,-1.91,-0.23
1964-04-24,814.89,675.72,681.72,-6.77,-0.82
1964-04-27,811.87,675.84,681.84,-3.02,-0.37
1964-04-28,816.7,675.97,681.95,4.83,0.59
1964-04-29,812.81,676.1,681.98,-3.89,-0.48
1964-04-30,810.77,676.22,682.01,-2.04,-0.25
1964-05-01,817.1,676.35,682.03,6.33,0.78
1964-05-04,823.83,676.49,682.06,6.73,0.82
1964-05-05,826.63,676.62,682.1,2.8,0.34
1964-05-06,828.18,676.76,682.14,1.55,0.19
1964-05-07,830.17,676.9,682.16,1.99,0.24
1964-05-08,828.57,677.04,682.18,-1.6,-0.19
1964-05-11,827.07,677.18,682.26,-1.5,-0.18
1964-05-12,827.38,677.32,682.34,0.31,0.04
1964-05-13,825.78,677.45,682.4,-1.6,-0.19
1964-05-14,824.45,677.58,682.47,-1.33,-0.16
1964-05-15,826.23,677.72,682.5,1.78,0.22
1964-05-18,821.31,677.85,682.52,-4.92,-0.6
1964-05-19,817.28,677.98,682.52,-4.03,-0.49
1964-05-20,820.11,678.11,682.52,2.83,0.35
1964-05-21,819.8,678.23,682.57,-0.31,-0.04
1964-05-22,820.87,678.36,682.62,1.07,0.13
1964-05-25,820.25,678.49,682.68,-0.62,-0.08
1964-05-26,818.92,678.62,682.74,-1.33,-0.16
1964-05-27,817.94,678.74,682.77,-0.98,-0.12
1964-05-28,820.56,678.87,682.81,2.62,0.32
1964-06-01,818.56,679.0,682.83,-2.0,-0.24
1964-06-02,813.78,679.12,682.85,-4.78,-0.58
1964-06-03,811.79,679.24,682.87,-1.99,-0.24
1964-06-04,802.48,679.35,682.89,-9.31,-1.15
1964-06-05,806.03,679.46,682.93,3.55,0.44
1964-06-08,800.31,679.57,682.97,-5.72,-0.71
1964-06-09,805.54,679.68,683.03,5.23,0.65
1964-06-10,807.53,679.8,683.09,1.99,0.25
1964-06-11,811.25,679.92,683.14,3.72,0.46
1964-06-12,809.39,680.03,683.19,-1.86,-0.23
1964-06-15,813.56,680.15,683.43,4.17,0.52
1964-06-16,818.16,680.27,683.68,4.6,0.57
1964-06-17,823.35,680.4,683.68,5.19,0.63
1964-06-18,823.98,680.53,683.69,0.63,0.08
1964-06-19,825.25,680.66,683.71,1.27,0.15
